address,block,lot
357 4th Street,9902,2
355.5 4th Street,9902,3
241 4th Street,11105,10
308 Academy Street,12106,13
347 Arlington Avenue,19603,8
55 Atlantic Street,19501,22
25 Bayview Avenue,24101,29
211 Bayview Avenue,23403,23
46 Bentley Avenue,17802,23
622 Bramhall Avenue,18506,10
8 Bright Street,14106,30
360 Central Avenue,2901,35
358 Central Avenue,2901,34
95 Claremont Avenue,23201,12
206 Claremont Avenue,22503,74
182 Claremont Avenue,22503,58
309 Claremont Avenue,22303,3
67 Clerk Street,23301,15
241 Clinton Avenue,18303,10
337 Communipaw Avenue,20201,80
793 Communipaw Avenue,18302,24
27 Emory Street,17907,14
273 Forrest Street,21305,17
275 Forrest Street,21305,16
16 Fulton Avenue,25202,42
148-150 Fulton Avenue,25704,37
58 Gardner Avenue,16802,60
746 Grand Street,18703,09
116 Grant Avenue,23101,50
145 Grant Avenue,23102,3
147 Grant Avenue,23102,2
248 Grove Street,14103,54
77 Harrison Avenue,17905,26
1904 Kennedy Boulevard aka JFK Blv2d5503,9
195 Liberty Avenue,4601,31
4 Mercer Street,12903,13
125 Monitor Street,17503 1.01,1.01
10 Morton Place 22405,5
137 Myrtle Avenue,23203,11
9 Myrtle Avenue,23703,12
7 Myrtle Avenue,23703,13
98 Myrtle Avenue,23202,47
201 New York Avenue,3805,19
161 New York Avenue,4503,31
512 Ocean Avenue,2410,82
438 Ocean Avenue,25903,5
98 Orient Avenue,22502,51
81.5 Orient Avenue,22503,33
81 Orient Avenue,22503,34
197 Palisade Avenue,5902,20
364-366 Palisade Avenue,5101,1
454 Palisade Avenue,3002,13
234 South Street,2105,47
33 Suburbia Court,26701,14
1123 Summit Avenue,805,11
30 Terhune Avenue,26902,18
28 Terhune Avenue,26902,17
19 Thorne Street,2804,21
44 Union Street,19603,30
177 Van Nostrand Avenue,26402,2
175 Virginia Avenue,21002,4
159-159A Virginia Avenue,21002,12
332 Whiton Street,19005,30
111 Wilkinson Avenue,23502,34
10 Williams Avenue,20501,51
161 Winfield Avenue,29203,33
