number,address,block,lot
392,1st Street,11006,28
389,1st Street,12603,9
268,3rd Street,11104,12
203,3rd Street,11301,2
409,3rd Street,11008,6
357,4th Street,9902,2
302.5,4th Street,11207,20
355.5,4th Street,9902,3
375,4th Street,11002,6
383,4th Street,11002,2
377,4th Street,11002,05
379,4th Street,11002,04
241,4th Street,11105,10
290,7th Street,10006,42
274,7th Street,10006,34
323,7th Street,11201,2
298,8th Street,10009,21
344.5,8th Street,8503,32
15,Abbett Street,4401,28
308,Academy Street,12106,13
236,Academy Street,12204,23
140,Arlington Avenue,23303,44
61,Arlington Avenue,23603,4
135,Arlington Avenue,23302,15
115,Arlington Avenue,23302,25
234,Arlington Avenue,21403,47
76,Arlington Avenue,23702,02
305,Arlington Avenue,21304,7
349,Arlington Avenue,9603,7
127,Arlington Avenue,23302,19
243,Arlington Avenue,21402,16
347,Arlington Avenue,19603,8
122,Arlington Avenue,23303,37
88A,Arlington Avenue,23702,09
198,Armstrong Avenue,24902,19
111,Armstrong Avenue,25701,19
19,Armstrong Avenue,25901,14
41,Astor Place,17001,41
35,Astor Place,17001,44
48,Astor Place,17002,39
96,Atlantic Street,18505,12
91,Atlantic Street,23602,08
55,Atlantic Street,19501,22
334,Baldwin Avenue,8202,15
167,Baldwin Avenue,10802,29
203,Baldwin Avenue,10803,32
120,Bartholdi Avenue,29201,70
31,Bartholdi Avenue,29303,06
230,Bay Street,11403,27
140,Bay Street,11504,1
143,Bayview Avenue,24001,14
25,Bayview Avenue,24101,29
128,Bayview Avenue,23502,72
210,Bayview Avenue,23404,37
57,Bayview Avenue,24101,11
233,Bayview Avenue,23403,12
174,Beacon Avenue,5602,61
241,Beacon Avenue,5505,7
243,Beacon Avenue,5505,6
155,Belmont Avenue,17801,29
99,Belmont Avenue,16701,13
241,Belvidere Avenue,24802,5
215,Belvidere Avenue,14702,7
22,Belvidere Avenue,18203,20
46,Bentley Avenue,17802,23
117,Bentley Avenue,17702,13
712-714,Bergen Avenue,15002,10
706-714,Bergen Avenue,115002,10
62,Bergen Avenue,24904,2
446,Bergen Avenue,18505,01
365,Bergen Avenue,21001,24
145,Bergen Avenue,23001,36
467,Bergen Avenue,18402,12
74-76,Bergen Avenue,24904,06
716-18,Bergen Avenue,15003,1
482,Bergen Avenue,18501,15
299,Bergen Avenue,22404,18
171,Bergen Avenue,23001,26
152,Bidwell Avenue,24001,68
161,Bidwell Avenue,24002,15
137,Bidwell Avenue,24002,27
134,Bidwell Avenue,24001,59
96,Bidwell Avenue,24001,41
185,Bidwell Avenue,24002,3
138,Bidwell Avenue,24001,61
21,Bidwell Avenue,24102,28
38,Birch Street,26102,08
41,Bishop Street,15403,9
93,Bleecker Street,2105,17
114,Bostwick Avenue,23103,27
12,Bostwick Avenue,23203,45
10,Bostwick Avenue,23203,34
257,Bowers Street,2605,5
146,Bowers Street,2803,33
152,Boyd Avenue,20502,62
39,Boyd Avenue,20602,33
369-371,Bramhall Avenue,19901,27
379.5,Bramhall Avenue,19901,19
474,Bramhall Avenue,18802,06
606,Bramhall Avenue,18502,27.01
358,Bramhall Avenue,20102,71
448,Bramhall Avenue,18803,15
622,Bramhall Avenue,18506,10
22,Bright Street,14106,36
8,Bright Street,14106,30
135,Broadway,10301,42
29,Carlton Avenue,4702,10
17,Cedar Street,26102,7
40,Center Street,13803,4
184,Central Avenue,4904,3
360,Central Avenue,2901,35
358,Central Avenue,2901,34
64,Charles Street,2705,25
97,Charles Street,02604,24
95,Claremont Avenue,23201,12
206,Claremont Avenue,22503,74
184 A,Claremont Avenue,22503,66
182,Claremont Avenue,22503,58
103,Claremont Avenue,23201,8
309,Claremont Avenue,22303,3
60,Claremont Avenue,22702,35
271,Claremont Avenue,22303,22
247,Clendenny Avenue,19105,5
111,Clendenny Avenue,19303,7
70,Clendenny Avenue,19302,46
112,Clendenny Avenue,19302,67
208,Clendenny Avenue,19202,95
151,Clerk Street,22701,14
181,Clerk Street,21401,27
240,Clerk Street,21303,23
216,Clerk Street,21402,55
67,Clerk Street,23301,15
35,Clerk Street,23601,12
97,Clifton Place,15302,31
121,Clifton Place,15302,27
14-22,Clinton Avenue,18705,35
9,Clinton Avenue,18801,11
241,Clinton Avenue,18303,10
121,Coles Street,11201,17
111,Coles Street,11201,22
84,Coles Street,11213,"2,01"
86,Coles Street,11213,02
75,Coles Street,11207,17
152,Coles Street,10009,28
89,Colgate Street,11008,15
111,Collard Street,4701,9
287,Columbia Avenue,603,35
141,Columbia Avenue,1203,73
332,Columbia Avenue,00303,33
