,Street Name,Registration Date ,Paid By ,Secured Date,Notes
,ACADEMY STREET,11/29/12,2/6/12,$ 500.00 By Owner 11/16/16,
35,AETNA STREET,8/14/13,9/14/13,$500.00 PAID BY BANK,
42,ARLINGTON AVENUE,8/6/13,8/6/13,$250.00 paid by bank 7-29-2016,
61,ARLINGTON AVENUE,4/5/13,5/31/13,$500.00 paid by owner 8-27-2015,
93,ARLINGTON AVENUE,2/28/12,4/2/12,$500 paid 10/26/16,
127,ARLINGTON AVENUE,7/18/17,,VBR PAID BY NEW OWNER 7-18-2017,
136,ARLINGTON AVENUE,11/29/11,2/6/12,$500 pd by bank 5-13-14 $500.00 paid by owner 11-19-2015,
234,ARLINGTON AVENUE,10/7/14,11/20/14,VBR PAID $250 pd BY OWNER 11/25/14,
258,ARLINGTON AVENUE,12/1/11,2/12/12,,
284,ARLINGTON AVENUE,10/7/14,11/20/14,,
305,ARLINGTON AVENUE,4/12/13,6/1/15,OWNER PAID $500.00 RENEWAL 5-3-2017,
306,ARLINGTON AVENUE,9/27/13,11/1/13,$500.00 paid by bank 12-2014,
88A,ARLINGTON AVENUE,3/1/13,4/15/13,$250.00 PAID BY BANK 3-12-14,
158,ARLINGTON AVENUE,12/29/11,3/1/12,SUMM ISS 4-26-2012 $250.00 PAID,
237,ARLINGTON AVENUE,4/9/15,4/9/15,$500.00 paid by bank/$500.00 paid by bank 7-1-2016,
347,ARLINGTON AVENUE,4/10/15,4/10/15,BANK PAID $500.00 RENEWAL 5-3-2017,
122,ARLINGTON AVENUE,2/18/16,2/18/16,$250.00 PAID BY BANK $250 PAID BY NEW CREDITOR 3/7/17,
298,ARLINGTON AVENUE,6/6/16,6/6/16,$500 paid by bank 10/26/16,
225,ARLINGTON AVENUE,1/25/17,,VBR SENT TO OWNER 7/25/17,
343,ARLINGTON AVENUE,6/21/17,,VBR SENT TO OWNER 6/21/2017,
302,ARLINGTON AVENUE,1/4/17,1/31/17,$250.00 PAID BY BANK,
89,ARLINGTON AVENUE,1/27/17,2/21/17,$250.00 VBR PAID.,
27,ARMSTRONG AVENUE,11/30/12,1/25/13,$250.00 PAID BY OWNER $250.00 3-12-14 PD/$500.00 by bank 12-4-2015,
159,ARMSTRONG AVENUE,2/23/12,2/23/12,$500.00 pd by bank/$500.00 paid by bank 7-11/17,
166,ARMSTRONG AVENUE,6/4/13,7/5/13,$250.00 by bank 5-31-2016,
167,ARMSTRONG AVENUE,12/8/11,12/8/11,VBR ISSUED TO NEW OWNER 12/27/17,
346,ARMSTRONG AVENUE,4/7/17,4/7/17,VBR ISSUED TO NEW OWNER 4/18/18,
394,ARMSTRONG AVENUE,9/18/15,9/18/14,$250 PAID BY BANK paid by bank 6-3-2015,
48,ARMSTRONG AVENUE,2/23/15,2/23/15,vbr issued to new OWNER bank 4/18/18,
75,ARMSTRONG AVENUE,6/2/15,6/2/15,$250.00 paid by bank 6-2-2015/$500.00 paid by bank 6/14/17,
284,ARMSTRONG AVENUE,3/9/16,,VBR ISSUED TO NEW OWNER 4/18/18,
366,ARMSTRONG AVENUE,6/9/16,6/20/16,$250.00 paid by owner,
166,ARMSTRONG AVENUE,10/19/16,10/19/16,$250.00 PAID BY BANK 10/19/16,
55,ATLANTIC AVENUE,5/12/15,5/12/15,$500 PD BY BANK,
