NUMBER,STREET NAME,streetAddress,city,latitude,longidtude,type
167,Armstrong Ave,167 Armstrong Ave,JERSEY CITY,40.702689,-74.087402,APRA
80,Bowers Street,80 Bowers Street,JERSEY CITY,40.746682,-74.045935,APRA
142,Boyd Ave,142 Boyd Ave,JERSEY CITY,40.717945,-74.085447,APRA
182,Claremont Ave,182 Claremont Ave,JERSEY CITY,40.710576,-74.0809699,APRA
219,Clendenny Ave,219 Clendenny Ave,JERSEY CITY,40.720618,-74.086862,APRA
67,Clerk St,67 Clerk St,JERSEY CITY,40.7063762,-74.0770381,APRA
163,Clerk St,163 Clerk St,JERSEY CITY,40.709295,-74.075732,APRA
165,Clerk St,165 Clerk St,JERSEY CITY,40.709336,-74.07571,APRA
208,Columbus Drive,208 Columbus Drive,JERSEY CITY,40.721403,-74.0478679,APRA
35,Dwight St,35 Dwight St,JERSEY CITY,40.701322,-74.080768,APRA
329,Forrest st,329 Forrest st,JERSEY CITY,40.713189,-74.077909,APRA
148-150,Fulton Ave,148-150 Fulton Ave,JERSEY CITY,40.703655,-74.0848989,APRA
248,Grove Street,248 Grove Street,JERSEY CITY,40.716489,-74.044312,APRA
2131,Kennedy Blvd,2131 Kennedy Blvd,JERSEY CITY,40.711779,-74.0845439,APRA
18,Mc Dougall St,18 Mc Dougall St,JERSEY CITY,40.714748,-74.069069,APRA
125,Monitor St,125 Monitor St,JERSEY CITY,40.713223,-74.056656,APRA
9,Myrtle Ave,9 Myrtle Ave,JERSEY CITY,40.705015,-74.07523,APRA
37.5,Oak Street,37.5 Oak Street,JERSEY CITY,40.7126871,-74.0748746,APRA
354,Ogden Ave,354 Ogden Ave,JERSEY CITY,40.745866,-74.041807,APRA
81,Orient Ave,81 Orient Ave,JERSEY CITY,40.71058,-74.080367,APRA
404,Palisade Ave,404 Palisade Ave,JERSEY CITY,40.7423659,-74.045008,APRA
671,Palisade Ave,671 Palisade Ave,JERSEY CITY,40.7512779,-74.0399168,APRA
332,Whiton St,332 Whiton St,JERSEY CITY,40.712105,-74.059852,APRA
308,ACADEMY STREET,308 ACADEMY STREET,JERSEY CITY,40.730196,-74.0666959,Vacant Building
35,AETNA STREET,35 AETNA STREET,JERSEY CITY,40.712835,-74.052721,Vacant Building
42,ARLINGTON AVENUE,42 ARLINGTON AVENUE,JERSEY CITY,40.703778,-74.077688,Vacant Building
61,ARLINGTON AVENUE,61 ARLINGTON AVENUE,JERSEY CITY,40.7044039,-74.077737,Vacant Building
93,ARLINGTON AVENUE,93 ARLINGTON AVENUE,JERSEY CITY,40.705411,-74.076775,Vacant Building
127,ARLINGTON AVENUE,127 ARLINGTON AVENUE,JERSEY CITY,40.706463,-74.076134,Vacant Building
136,ARLINGTON AVENUE,136 ARLINGTON AVENUE,JERSEY CITY,40.7065849,-74.07535,Vacant Building
171,ARLINGTON AVENUE,171 ARLINGTON AVENUE,JERSEY CITY,40.708003,-74.075312,Vacant Building
218,ARLINGTON AVENUE,218 ARLINGTON AVENUE,JERSEY CITY,40.709445,-74.073817,Vacant Building
234,ARLINGTON AVENUE,234 ARLINGTON AVENUE,JERSEY CITY,40.709805,-74.073705,Vacant Building
258,ARLINGTON AVENUE,258 ARLINGTON AVENUE,JERSEY CITY,40.710342,-74.073192,Vacant Building
284,ARLINGTON AVENUE,284 ARLINGTON AVENUE,JERSEY CITY,40.711245,-74.072378,Vacant Building
305,ARLINGTON AVENUE,305 ARLINGTON AVENUE,JERSEY CITY,40.711768,-74.072179,Vacant Building
306,ARLINGTON AVENUE,306 ARLINGTON AVENUE,JERSEY CITY,40.7114815,-74.0719423,Vacant Building
88A,ARLINGTON AVENUE,88A ARLINGTON AVENUE,JERSEY CITY,40.705072,-74.07638,Vacant Building
158,ARLINGTON AVENUE,158 ARLINGTON AVENUE,JERSEY CITY,40.707465,-74.074927,Vacant Building
329.5,ARLINGTON AVENUE,329.5 ARLINGTON AVENUE,JERSEY CITY,40.7036938,-74.0781225,Vacant Building
237,ARLINGTON AVENUE,237 ARLINGTON AVENUE,JERSEY CITY,40.710217,-74.074126,Vacant Building
347,ARLINGTON AVENUE,347 ARLINGTON AVENUE,JERSEY CITY,40.7129641,-74.070778,Vacant Building
122,ARLINGTON AVENUE,122 ARLINGTON AVENUE,JERSEY CITY,40.706156,-74.07558,Vacant Building
27,ARMSTRONG AVENUE,27 ARMSTRONG AVENUE,JERSEY CITY,40.69944,-74.083022,Vacant Building
78,ARMSTRONG AVENUE,78 ARMSTRONG AVENUE,JERSEY CITY,40.7010549,-74.084062,Vacant Building
159,ARMSTRONG AVENUE,159 ARMSTRONG AVENUE,JERSEY CITY,40.7025099,-74.087128,Vacant Building
166,ARMSTRONG AVENUE,166 ARMSTRONG AVENUE,JERSEY CITY,40.703009,-74.087045,Vacant Building
167,ARMSTRONG AVENUE,167 ARMSTRONG AVENUE,JERSEY CITY,40.702689,-74.087402,Vacant Building
394,ARMSTRONG AVENUE,394 ARMSTRONG AVENUE,JERSEY CITY,40.708485,-74.095028,Vacant Building
48,ARMSTRONG AVENUE,48 ARMSTRONG AVENUE,JERSEY CITY,40.7001994,-74.083061,Vacant Building
75,ARMSTRONG AVENUE,75 ARMSTRONG AVENUE,JERSEY CITY,40.700682,-74.084331,Vacant Building
284,ARMSTRONG AVENUE,284 ARMSTRONG AVENUE,JERSEY CITY,40.7058204,-74.0911124,Vacant Building
55,ATLANTIC AVENUE,55 ATLANTIC AVENUE,JERSEY CITY,40.6914011,-73.9983729,Vacant Building
102,ATLANTIC STREET,102 ATLANTIC STREET,JERSEY CITY,40.715959,-74.077355,Vacant Building
55,ATLANTIC STREET,55 ATLANTIC STREET,JERSEY CITY,40.71473,-74.07595,Vacant Building
65.5,ATLANTIC STREET,65.5 ATLANTIC STREET,JERSEY CITY,40.714939,-74.076344,Vacant Building
143,AUDUBON AVENUE,143 AUDUBON AVENUE,JERSEY CITY,40.7105113,-74.0912947,Vacant Building
27,BALDWIN AVENUE,27 BALDWIN AVENUE,JERSEY CITY,40.7230501,-74.0650125,Vacant Building
180,BALDWIN AVENUE,180 BALDWIN AVENUE,JERSEY CITY,40.72744,-74.060507,Vacant Building
267,BALDWIN AVENUE,267 BALDWIN AVENUE,JERSEY CITY,40.730965,-74.0577351,Vacant Building
414,BALDWIN AVENUE,414 BALDWIN AVENUE,JERSEY CITY,40.734844,-74.052953,Vacant Building
27,BALDWIN AVENUE,27 BALDWIN AVENUE,JERSEY CITY,40.7230501,-74.0650125,Vacant Building
417.5,BALDWIN AVENUE,417.5 BALDWIN AVENUE,JERSEY CITY,40.7218488,-74.0656685,Vacant Building
159,BARTHOLDI AVENUE,159 BARTHOLDI AVENUE,JERSEY CITY,40.697629,-74.09782,Vacant Building
251,BARTHOLDI AVENUE,251 BARTHOLDI AVENUE,JERSEY CITY,40.700277,-74.099997,Vacant Building
17-23,BATES STREET,17-23 BATES STREET,JERSEY CITY,40.718095,-74.054127,Vacant Building
2,BAYSIDE PARK DRIVE,2 BAYSIDE PARK DRIVE,JERSEY CITY,40.6988119,-74.081323,Vacant Building
